"Run","Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
"Sliding window",0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,5.26701179166667,4.20054636666667,0.875691658333333,152051,52563,99488,38189,13462,24727,0.715323865454793,0.728670507134762,16,22
"Sliding window",1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,9.80534710833333,8.18994725,1.4151948,151330,52846,98484,39011,13862,25149,0.730182369234493,0.726321973727394,28,81
"Sliding window",2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,17.50591425,15.2668202166667,2.02576534166667,152865,54183,98682,37827,14462,23365,0.72901651571825,0.731680083815365,38,120
"Sliding window",3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,29.8048966333333,25.1047611416667,4.46015103333333,152281,55133,97148,34126,12023,22103,0.730025940647091,0.744500433798467,44,158
"Sliding window",4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,43.3675763,37.8944715416667,5.19874073333333,149154,53810,95344,31107,7772,23335,0.737056580264496,0.762237682787381,62,232
"Sliding window",5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,62.4606627333333,55.8650864333333,6.28406575833333,142072,48120,93952,30302,7695,22607,0.738800889673629,0.746824976985485,72,267
"Sliding window",6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,88.912880525,79.0064829833333,9.55529375,133363,41953,91410,30205,7684,22521,0.756125894777574,0.745003825858316,87,367
"Sliding window",7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,115.8766998,103.496438541667,11.99863635,125741,35175,90566,29687,7524,22163,0.757167043896301,0.756828547960698,98,458
"Sliding window",8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,142.996218308333,131.349168825,11.211262425,121302,30676,90626,31565,11424,20141,0.763982310359629,0.743895376965642,108,498
"Sliding window",9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,179.135024691667,163.218899791667,15.4245534666667,121759,34327,87432,30596,8167,22429,0.756863876884426,0.763244622598403,122,547
