"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,4.36022423333333,3.19197105,0.872094745833333,152051,52563,99488,38189,13462,24727,0.73398661796573,0.746885105843104,20,46
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,5.04567620833333,3.4169972,1.28359733333333,151330,52846,98484,39011,13862,25149,0.748186392283101,0.741513628478496,26,69
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,6.68408739166667,3.5899219125,2.7298152625,152865,54183,98682,37827,14462,23365,0.757534209150415,0.756061414059346,36,114
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,9.49484320833333,3.96669462083333,5.13514595416667,152281,55133,97148,34126,12023,22103,0.765187646000353,0.781515556308928,44,160
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,11.0500652583333,4.3077220125,6.33543345,149154,53810,95344,31107,7772,23335,0.787695072956451,0.808168456958611,46,188
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,12.6431743416667,4.66499320416667,7.57816930416667,142072,48120,93952,30302,7695,22607,0.79275394975836,0.798415215399165,51,212
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,13.8039590708333,4.57023143333333,8.8820959125,133363,41953,91410,30205,7684,22521,0.807312063706936,0.7944860499626,54,227
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,16.2089367875,4.94718746666667,10.9193130958333,125741,35175,90566,29687,7524,22163,0.813111683240239,0.811060936126835,56,233
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,17.2042433625,5.10298657916667,11.7619464958333,121302,30676,90626,31565,11424,20141,0.811718102521297,0.783119646265363,58,240
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,17.1893754958333,5.066730625,11.7634905958333,121759,34327,87432,30596,8167,22429,0.803141404376958,0.80680687994768,58,237
